participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P035,WF-003-NR-HC_1,1,WF,003,NR,HC,1,Female,Happy,1
P034,WF-003-NR-HC_1,3,WF,003,NR,HC,1,Female,Happy,1
P049,WF-003-NR-HC_1,5,WF,003,NR,HC,1,Female,Happy,1
P047,WF-003-NR-HC_1,5,WF,003,NR,HC,1,Female,Happy,1
P030,WF-003-NR-HC_1,5,WF,003,NR,HC,1,Female,Happy,1
P007,WF-003-NR-HC_1,5,WF,003,NR,HC,1,Female,Happy,1
P024,WF-003-NR-HC_1,5,WF,003,NR,HC,1,Female,Happy,1
P002,WF-003-NR-HC_1,2,WF,003,NR,HC,1,Female,Happy,1
P065,WF-003-NR-A_4,3,WF,003,NR,A,4,Female,Angry,4
P063,WF-003-NR-A_4,4,WF,003,NR,A,4,Female,Angry,4
p057,WF-003-NR-A_4,4,WF,003,NR,A,4,Female,Angry,4
P035,WF-003-NR-A_4,5,WF,003,NR,A,4,Female,Angry,4
P034,WF-003-NR-A_4,2,WF,003,NR,A,4,Female,Angry,4
P049,WF-003-NR-A_4,5,WF,003,NR,A,4,Female,Angry,4
P047,WF-003-NR-A_4,3,WF,003,NR,A,4,Female,Angry,4
P030,WF-003-NR-A_4,4,WF,003,NR,A,4,Female,Angry,4
P007,WF-003-NR-A_4,4,WF,003,NR,A,4,Female,Angry,4
P024,WF-003-NR-A_4,4,WF,003,NR,A,4,Female,Angry,4
P002,WF-003-NR-A_4,4,WF,003,NR,A,4,Female,Angry,4
P065,WF-003-NR-F_6,2,WF,003,NR,F,6,Female,Scared,6
P063,WF-003-NR-F_6,5,WF,003,NR,F,6,Female,Scared,6
p057,WF-003-NR-F_6,2,WF,003,NR,F,6,Female,Scared,6
P035,WF-003-NR-F_6,1,WF,003,NR,F,6,Female,Scared,6
P034,WF-003-NR-F_6,1,WF,003,NR,F,6,Female,Scared,6
P049,WF-003-NR-F_6,1,WF,003,NR,F,6,Female,Scared,6
P047,WF-003-NR-F_6,1,WF,003,NR,F,6,Female,Scared,6
P030,WF-003-NR-F_6,1,WF,003,NR,F,6,Female,Scared,6
P007,WF-003-NR-F_6,3,WF,003,NR,F,6,Female,Scared,6
P024,WF-003-NR-F_6,1,WF,003,NR,F,6,Female,Scared,6
P002,WF-003-NR-F_6,1,WF,003,NR,F,6,Female,Scared,6
P055,WF-005-NR-N_4,1,WF,005,NR,N,4,Female,Angry,4
P036,WF-005-NR-N_4,2,WF,005,NR,N,4,Female,Angry,4
P018,WF-005-NR-N_4,1,WF,005,NR,N,4,Female,Angry,4
P014,WF-005-NR-N_4,1,WF,005,NR,N,4,Female,Angry,4
P050,WF-005-NR-N_4,1,WF,005,NR,N,4,Female,Angry,4
P011,WF-005-NR-N_4,2,WF,005,NR,N,4,Female,Angry,4
P030,WF-005-NR-N_4,1,WF,005,NR,N,4,Female,Angry,4
P005,WF-005-NR-N_4,5,WF,005,NR,N,4,Female,Angry,4
P024,WF-005-NR-N_4,5,WF,005,NR,N,4,Female,Angry,4
P001,WF-005-NR-N_4,2,WF,005,NR,N,4,Female,Angry,4
P055,WF-005-NR-HC_1,5,WF,005,NR,HC,1,Female,Happy,1
