participantID,question,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender
P030,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P007,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P024,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P002,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P065,WF-003-NR-F_6,2.0,WF,003,NR,F,6,Female
P063,WF-003-NR-F_6,5.0,WF,003,NR,F,6,Female
p057,WF-003-NR-F_6,2.0,WF,003,NR,F,6,Female
P035,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P034,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P049,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P047,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P030,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P007,WF-003-NR-F_6,3.0,WF,003,NR,F,6,Female
P024,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P002,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P055,WF-005-NR-N_4,1.0,WF,005,NR,N,4,Female
P036,WF-005-NR-N_4,2.0,WF,005,NR,N,4,Female
P018,WF-005-NR-N_4,1.0,WF,005,NR,N,4,Female
P014,WF-005-NR-N_4,1.0,WF,005,NR,N,4,Female
P050,WF-005-NR-N_4,1.0,WF,005,NR,N,4,Female
P011,WF-005-NR-N_4,2.0,WF,005,NR,N,4,Female
P030,WF-005-NR-N_4,1.0,WF,005,NR,N,4,Female
P005,WF-005-NR-N_4,5.0,WF,005,NR,N,4,Female
P024,WF-005-NR-N_4,5.0,WF,005,NR,N,4,Female
P001,WF-005-NR-N_4,2.0,WF,005,NR,N,4,Female
P055,WF-005-NR-HC_1,5.0,WF,005,NR,HC,1,Female
P036,WF-005-NR-HC_1,4.0,WF,005,NR,HC,1,Female
P018,WF-005-NR-HC_1,4.0,WF,005,NR,HC,1,Female
P014,WF-005-NR-HC_1,5.0,WF,005,NR,HC,1,Female
P050,WF-005-NR-HC_1,5.0,WF,005,NR,HC,1,Female
P011,WF-005-NR-HC_1,5.0,WF,005,NR,HC,1,Female
P030,WF-005-NR-HC_1,5.0,WF,005,NR,HC,1,Female
P005,WF-005-NR-HC_1,4.0,WF,005,NR,HC,1,Female
P024,WF-005-NR-HC_1,5.0,WF,005,NR,HC,1,Female
P001,WF-005-NR-HC_1,5.0,WF,005,NR,HC,1,Female
P055,WF-005-NR-A_4,5.0,WF,005,NR,A,4,Female
P036,WF-005-NR-A_4,4.0,WF,005,NR,A,4,Female
P018,WF-005-NR-A_4,4.0,WF,005,NR,A,4,Female
P014,WF-005-NR-A_4,5.0,WF,005,NR,A,4,Female
P050,WF-005-NR-A_4,5.0,WF,005,NR,A,4,Female
P011,WF-005-NR-A_4,4.0,WF,005,NR,A,4,Female
P030,WF-005-NR-A_4,4.0,WF,005,NR,A,4,Female
P005,WF-005-NR-A_4,3.0,WF,005,NR,A,4,Female
P024,WF-005-NR-A_4,4.0,WF,005,NR,A,4,Female
P001,WF-005-NR-A_4,4.0,WF,005,NR,A,4,Female
P055,WF-005-NR-F_6,3.0,WF,005,NR,F,6,Female
P036,WF-005-NR-F_6,2.0,WF,005,NR,F,6,Female
P018,WF-005-NR-F_6,4.0,WF,005,NR,F,6,Female
P014,WF-005-NR-F_6,4.0,WF,005,NR,F,6,Female
P050,WF-005-NR-F_6,1.0,WF,005,NR,F,6,Female
P011,WF-005-NR-F_6,5.0,WF,005,NR,F,6,Female
P030,WF-005-NR-F_6,2.0,WF,005,NR,F,6,Female
P005,WF-005-NR-F_6,1.0,WF,005,NR,F,6,Female
P024,WF-005-NR-F_6,4.0,WF,005,NR,F,6,Female
P001,WF-005-NR-F_6,3.0,WF,005,NR,F,6,Female
P60,WF-007-NR-N_4,1.0,WF,007,NR,N,4,Female
P055,WF-007-NR-N_4,1.0,WF,007,NR,N,4,Female
P035,WF-007-NR-N_4,1.0,WF,007,NR,N,4,Female
P016,WF-007-NR-N_4,2.0,WF,007,NR,N,4,Female
P051,WF-007-NR-N_4,2.0,WF,007,NR,N,4,Female
P010,WF-007-NR-N_4,1.0,WF,007,NR,N,4,Female
P009,WF-007-NR-N_4,2.0,WF,007,NR,N,4,Female
P044,WF-007-NR-N_4,1.0,WF,007,NR,N,4,Female
P025,WF-007-NR-N_4,1.0,WF,007,NR,N,4,Female
P002,WF-007-NR-N_4,1.0,WF,007,NR,N,4,Female
P60,WF-007-NR-HC_1,4.0,WF,007,NR,HC,1,Female
P055,WF-007-NR-HC_1,5.0,WF,007,NR,HC,1,Female
P035,WF-007-NR-HC_1,5.0,WF,007,NR,HC,1,Female
P016,WF-007-NR-HC_1,4.0,WF,007,NR,HC,1,Female
P051,WF-007-NR-HC_1,5.0,WF,007,NR,HC,1,Female
P010,WF-007-NR-HC_1,5.0,WF,007,NR,HC,1,Female
P009,WF-007-NR-HC_1,5.0,WF,007,NR,HC,1,Female
P044,WF-007-NR-HC_1,5.0,WF,007,NR,HC,1,Female
P025,WF-007-NR-HC_1,5.0,WF,007,NR,HC,1,Female
P002,WF-007-NR-HC_1,4.0,WF,007,NR,HC,1,Female
P60,WF-007-NR-A_4,5.0,WF,007,NR,A,4,Female
P055,WF-007-NR-A_4,4.0,WF,007,NR,A,4,Female
P035,WF-007-NR-A_4,5.0,WF,007,NR,A,4,Female
P016,WF-007-NR-A_4,4.0,WF,007,NR,A,4,Female
P051,WF-007-NR-A_4,5.0,WF,007,NR,A,4,Female
P010,WF-007-NR-A_4,5.0,WF,007,NR,A,4,Female
P009,WF-007-NR-A_4,5.0,WF,007,NR,A,4,Female
P044,WF-007-NR-A_4,3.0,WF,007,NR,A,4,Female
P025,WF-007-NR-A_4,2.0,WF,007,NR,A,4,Female
P002,WF-007-NR-A_4,5.0,WF,007,NR,A,4,Female
P60,WF-007-NR-F_6,4.0,WF,007,NR,F,6,Female
P055,WF-007-NR-F_6,1.0,WF,007,NR,F,6,Female
P035,WF-007-NR-F_6,1.0,WF,007,NR,F,6,Female
P016,WF-007-NR-F_6,4.0,WF,007,NR,F,6,Female
P051,WF-007-NR-F_6,4.0,WF,007,NR,F,6,Female
P010,WF-007-NR-F_6,5.0,WF,007,NR,F,6,Female
P009,WF-007-NR-F_6,1.0,WF,007,NR,F,6,Female
P044,WF-007-NR-F_6,2.0,WF,007,NR,F,6,Female
P025,WF-007-NR-F_6,5.0,WF,007,NR,F,6,Female
