participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion
P022,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P063,WF-002-NR-N_4,2,WF,002,NR,N,4,Female,Angry
P058,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry
P019,WF-002-NR-N_4,3,WF,002,NR,N,4,Female,Angry
P017,WF-002-NR-N_4,3,WF,002,NR,N,4,Female,Angry
P032,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry
P051,WF-002-NR-N_4,4,WF,002,NR,N,4,Female,Angry
P011,WF-002-NR-N_4,2,WF,002,NR,N,4,Female,Angry
P008,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry
P005,WF-002-NR-N_4,5,WF,002,NR,N,4,Female,Angry
P025,WF-002-NR-N_4,2,WF,002,NR,N,4,Female,Angry
P022,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry
P063,WF-002-NR-N_5,1,WF,002,NR,N,5,Female,Disgusted
P058,WF-002-NR-N_5,2,WF,002,NR,N,5,Female,Disgusted
P019,WF-002-NR-N_5,2,WF,002,NR,N,5,Female,Disgusted
P017,WF-002-NR-N_5,2,WF,002,NR,N,5,Female,Disgusted
P032,WF-002-NR-N_5,1,WF,002,NR,N,5,Female,Disgusted
P051,WF-002-NR-N_5,4,WF,002,NR,N,5,Female,Disgusted
P011,WF-002-NR-N_5,2,WF,002,NR,N,5,Female,Disgusted
P008,WF-002-NR-N_5,1,WF,002,NR,N,5,Female,Disgusted
P005,WF-002-NR-N_5,5,WF,002,NR,N,5,Female,Disgusted
P025,WF-002-NR-N_5,4,WF,002,NR,N,5,Female,Disgusted
P022,WF-002-NR-N_5,1,WF,002,NR,N,5,Female,Disgusted
P063,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P058,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P019,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P017,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P032,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P051,WF-002-NR-N_6,3,WF,002,NR,N,6,Female,Scared
P011,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P008,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P005,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P025,WF-002-NR-N_6,4,WF,002,NR,N,6,Female,Scared
P022,WF-002-NR-N_6,1,WF,002,NR,N,6,Female,Scared
P063,WF-002-NR-HC_1,3,WF,002,NR,HC,1,Female,Happy
P058,WF-002-NR-HC_1,5,WF,002,NR,HC,1,Female,Happy
P019,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy
P017,WF-002-NR-HC_1,3,WF,002,NR,HC,1,Female,Happy
P032,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy
P051,WF-002-NR-HC_1,5,WF,002,NR,HC,1,Female,Happy
P011,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy
P008,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy
P005,WF-002-NR-HC_1,5,WF,002,NR,HC,1,Female,Happy
P025,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy
P022,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy
P063,WF-002-NR-HC_2,2,WF,002,NR,HC,2,Female,Sad
P058,WF-002-NR-HC_2,1,WF,002,NR,HC,2,Female,Sad
P019,WF-002-NR-HC_2,1,WF,002,NR,HC,2,Female,Sad
P017,WF-002-NR-HC_2,1,WF,002,NR,HC,2,Female,Sad
P032,WF-002-NR-HC_2,2,WF,002,NR,HC,2,Female,Sad
P051,WF-002-NR-HC_2,1,WF,002,NR,HC,2,Female,Sad
